Black powder (%),Ferric oxide (%),KNO3 (%),Sorbitol (%),Mass Ferric oxide (g),Mass Black powder (g),Mass Carbon black (g),Mass Sulphur (g),Mass KNO3 (g),Mass Sorbitol (g)
1.00,1.00,80.00,20.00,2.00,2.00,0.30,0.20,161.50,52.27
1.10,1.10,79.25,20.75,2.20,2.20,0.33,0.22,160.15,54.11
1.20,1.20,78.50,21.50,2.40,2.40,0.36,0.24,158.80,55.94
1.30,1.30,77.75,22.25,2.60,2.60,0.39,0.26,157.45,57.77
1.40,1.40,77.00,23.00,2.80,2.80,0.42,0.28,156.10,59.61
1.50,1.50,76.25,23.75,3.00,3.00,0.45,0.30,154.75,61.44
1.60,1.60,75.50,24.50,3.20,3.20,0.48,0.32,153.40,63.27
1.70,1.70,74.75,25.25,3.40,3.40,0.51,0.34,152.05,65.11
1.80,1.80,74.00,26.00,3.60,3.60,0.54,0.36,150.70,66.94
1.90,1.90,73.25,26.75,3.80,3.80,0.57,0.38,149.35,68.77
2.00,2.00,72.50,27.50,4.00,4.00,0.60,0.40,148.00,70.60
2.10,2.10,71.75,28.25,4.20,4.20,0.63,0.42,146.65,72.44
2.20,2.20,71.00,29.00,4.40,4.40,0.66,0.44,145.30,74.27
2.30,2.30,70.25,29.75,4.60,4.60,0.69,0.46,143.95,76.10
2.40,2.40,69.50,30.50,4.80,4.80,0.72,0.48,142.60,77.94
2.50,2.50,68.75,31.25,5.00,5.00,0.75,0.50,141.25,79.77
2.60,2.60,68.00,32.00,5.20,5.20,0.78,0.52,139.90,81.60
2.70,2.70,67.25,32.75,5.40,5.40,0.81,0.54,138.55,83.44
2.80,2.80,66.50,33.50,5.60,5.60,0.84,0.56,137.20,85.27
2.90,2.90,65.75,34.25,5.80,5.80,0.87,0.58,135.85,87.10
3.00,3.00,65.00,35.00,6.00,6.00,0.90,0.60,134.50,88.93
