KNO3 (%),Sorbitol (%),Mass KNO3 (g),Mass Sorbitol (g),C*,Density,Chamber Cp/Cv,Chamber Temp,Isp*,Molecular Weight
70.00,30.00,1017.52,592.10,,,,,,
69.75,30.25,1013.89,597.03,,,,,,
69.50,30.50,1010.25,601.97,,,,,,
69.25,30.75,1006.62,606.90,,,,,,
69.00,31.00,1002.98,611.83,,,,,,
68.75,31.25,999.35,616.77,,,,,,
68.50,31.50,995.72,621.70,,,,,,
68.25,31.75,992.08,626.64,,,,,,
68.00,32.00,988.45,631.57,,,,,,
67.75,32.25,984.81,636.51,,,,,,
67.50,32.50,981.18,641.44,,,,,,
67.25,32.75,977.55,646.37,,,,,,
67.00,33.00,973.91,651.31,,,,,,
66.75,33.25,970.28,656.24,,,,,,
66.50,33.50,966.64,661.18,,,,,,
66.25,33.75,963.01,666.11,,,,,,
66.00,34.00,959.38,671.04,,,,,,
65.75,34.25,955.74,675.98,,,,,,
65.50,34.50,952.11,680.91,,,,,,
65.25,34.75,948.47,685.85,,,,,,
65.00,35.00,944.84,690.78,,,,,,
64.75,35.25,941.21,695.71,,,,,,
64.50,35.50,937.57,700.65,,,,,,
64.25,35.75,933.94,705.58,,,,,,
64.00,36.00,930.30,710.52,,,,,,
63.75,36.25,926.67,715.45,,,,,,
63.50,36.50,923.04,720.39,,,,,,
